name,stage,priority,notes,target_date_start,target_date_end,notion_url
Make sure sales on at 50% every 48 hours,Completed,Medium,,,,https://app.notion.com/p/181ed686b47d80a893ccf6b80a2f1274
Python Script to access Etsy API,Started,Low,https://developers.etsy.com/documentation/tutorials/quickstart/,2026-07-18T12:15:00Z,2026-07-18T12:45:00Z,https://app.notion.com/p/228ed686b47d800fbc13eb6fef769e55
Buy 1Password + Start integrating and using,Started,Low,,2026-05-10T10:45:00Z,2026-05-10T11:15:00Z,https://app.notion.com/p/228ed686b47d80f68b0fd39f8f98bc5a
Add Make to workflow and Etsy + Monday and Slack,Ongoing,Low,,2025-07-09T23:00:00Z,,https://app.notion.com/p/2d8ed686b47d8075a7e6e60fc12b28d8
END OF SECTION CHECKLIST,Ongoing,Low,,2025-07-09T23:00:00Z,,https://app.notion.com/p/2d8ed686b47d80509578dba3c797c36b
Manually renew listings from last year might have expired,Ongoing,Low,,2025-07-09T23:00:00Z,,https://app.notion.com/p/2d8ed686b47d806aadc4ffe72338c8d8
Figure out 1Password,Not Started,Low,,,,https://app.notion.com/p/181ed686b47d80198d97e7c5b7c4b121
Organise paper notes,Completed,Low,Put all docs in to table,,,https://app.notion.com/p/181ed686b47d80c8be30e5c09e50d1ae
Setup TopNotch Mugz after 10k - took Alek 3 months,Not Started,Low,,,,https://app.notion.com/p/181ed686b47d80f0bdbfcd60102ab6cf
Alura + vid mockups sort out,Not Started,Low,,,,https://app.notion.com/p/181ed686b47d809e9ac4e2024d12f128
Discord to SVG,Not Started,Low,Use Illustrator too to convert,,,https://app.notion.com/p/181ed686b47d80c2a794c1dee6dae349
Start implementing custom orders and personalisation,Completed,Low,,,,https://app.notion.com/p/181ed686b47d8020a7cbffb363c1bcdd
Update Shop Store,Completed,Low,,,,https://app.notion.com/p/181ed686b47d8070b876dbbc7c992d11
Start selling rugs,Not Started,Low,,,,https://app.notion.com/p/182ed686b47d803194d9f71548792f20
Make template eu2.make.com/templates,Not Started,Low,,2025-07-09T23:00:00Z,,https://app.notion.com/p/2d8ed686b47d8014afa8eed11c410e23
Start doing evergreen - people buy gifts at Christmas not just Christmas themed,Not Started,Low,,2025-07-09T23:00:00Z,,https://app.notion.com/p/2d8ed686b47d80e2ac35e6c56179e5a3
Start custom ornaments and tumblers - have 200 quality designs in place by November,Not Started,Low,,2025-07-09T23:00:00Z,,https://app.notion.com/p/2d8ed686b47d8064b2a8f7e26be52a72
Payment to Credit Card 370 on 15th,Completed,Low,,2025-08-14T12:30:00Z,2025-08-14T13:00:00Z,https://app.notion.com/p/4c45472f94524231a2a17cff7b43d63f
Do email update of listing,Completed,Low,,2025-08-08T13:00:00Z,2025-08-08T13:30:00Z,https://app.notion.com/p/f33302225dfa4a3fb923214957d7b85a
